Septimus Vector,SeptimusVector@hogwarts.edu,Instructor
Bilius Bane,BiliusBane@hogwarts.edu,Instructor
Armando Dippet,ArmandoDippet@hogwarts.edu,Instructor
Aurora Sinistra,AuroraSinistra@hogwarts.edu,Instructor
Amos Diggory,AmosDiggory@hogwarts.edu,Instructor
Nicholas de Mimsy-Porpington,NicholasdeMimsy-Porpington@hogwarts.edu,Instructor
Columbus Flitwick,ColumbusFlitwick@hogwarts.edu,Instructor
Miranda Goshawk,MirandaGoshawk@hogwarts.edu,Instructor
Godric Gryffindor,GodricGryffindor@hogwarts.edu,Instructor
Mafalda Hopkirk,MafaldaHopkirk@hogwarts.edu,Instructor
Wilhelmina Grubbly-Plank,WilhelminaGrubbly-Plank@hogwarts.edu,Instructor
Rubeus Hagrid,RubeusHagrid@hogwarts.edu,Instructor
Irma Pince,IrmaPince@hogwarts.edu,Instructor
Craig Dawlish,CraigDawlish@hogwarts.edu,Instructor
Caradoc Dearborn,CaradocDearborn@hogwarts.edu,Instructor
Patrick Delaney-Podmore,PatrickDelaney-Podmore@hogwarts.edu,Instructor
Gilderoy Lockhart,GilderoyLockhart@hogwarts.edu,Instructor
Remus Lupin,RemusLupin@hogwarts.edu,Instructor
Alastor Moody,AlastorMoody@hogwarts.edu,Instructor
Quirinus Quirrell,QuirinusQuirrell@hogwarts.edu,Instructor
Dolores Jane Umbridge,DoloresJaneUmbridge@hogwarts.edu,Instructor
Claude Firenze,ClaudeFirenze@hogwarts.edu,Instructor
Sibyll Trelawney,SibyllTrelawney@hogwarts.edu,Instructor
Poppy Pomfrey,PoppyPomfrey@hogwarts.edu,Instructor
Pomona Sprout,PomonaSprout@hogwarts.edu,Instructor
Elphias Doge,ElphiasDoge@hogwarts.edu,Instructor
Angus Fleet,AngusFleet@hogwarts.edu,Instructor
Andrew Binns,AndrewBinns@hogwarts.edu,Instructor
Cletus Tofty,CletusTofty@hogwarts.edu,Instructor
Bathilda Bagshot,BathildaBagshot@hogwarts.edu,Instructor
Broderick Bode,BroderickBode@hogwarts.edu,Instructor
Amelia Susan Bones,AmeliaSusanBones@hogwarts.edu,Instructor
Edgar Bones,EdgarBones@hogwarts.edu,Instructor
Olympe Maxime,OlympeMaxime@hogwarts.edu,Instructor
Severus Snape,SeverusSnape@hogwarts.edu,Instructor
Arsenius Jigger,ArseniusJigger@hogwarts.edu,Instructor
Rolanda Hooch,RolandaHooch@hogwarts.edu,Instructor
Minerva McGonagall,MinervaMcGonagall@hogwarts.edu,Instructor
Albus Percival Wulfric Brian Dumbledore,AlbusPercivalWulfricBrianDumbledore@hogwarts.edu,Instructor
Sirius Black,SiriusBlack@hogwarts.edu,Student
Regulus Black,RegulusBlack@hogwarts.edu,Student
Hannah Abbott,HannahAbbott@hogwarts.edu,Student
Euan Abercrombie,EuanAbercrombie@hogwarts.edu,Student
Stewart Ackerley,StewartAckerley@hogwarts.edu,Student
Malcolm Baddock,MalcolmBaddock@hogwarts.edu,Student
Katie Bell,KatieBell@hogwarts.edu,Student
Miles Bletchley,MilesBletchley@hogwarts.edu,Student
Susan Bones,SusanBones@hogwarts.edu,Student
Terry Boot,TerryBoot@hogwarts.edu,Student
Arthur Bradley,ArthurBradley@hogwarts.edu,Student
Eleanor Branstone,EleanorBranstone@hogwarts.edu,Student
Mandy Brocklehurst,MandyBrocklehurst@hogwarts.edu,Student
Lavender Brown,LavenderBrown@hogwarts.edu,Student
Millicent Bulstrode,MillicentBulstrode@hogwarts.edu,Student
Eddie Carmichael,EddieCarmichael@hogwarts.edu,Student
Owen Cauldwell,OwenCauldwell@hogwarts.edu,Student
Cho Chang,ChoChang@hogwarts.edu,Student
Penelope Clearwater,PenelopeClearwater@hogwarts.edu,Student
Michael Corner,MichaelCorner@hogwarts.edu,Student
Vincent Crabbe,VincentCrabbe@hogwarts.edu,Student
Dennis Creevey,DennisCreevey@hogwarts.edu,Student
Colin Creevey,ColinCreevey@hogwarts.edu,Student
Roger Davies,RogerDavies@hogwarts.edu,Student
Gabrielle Delacour,GabrielleDelacour@hogwarts.edu,Student
Fleur Delacour,FleurDelacour@hogwarts.edu,Student
Jerrick Derrick,JerrickDerrick@hogwarts.edu,Student
Cedric Diggory,CedricDiggory@hogwarts.edu,Student
Harold Dingle,HaroldDingle@hogwarts.edu,Student
Emma Dobbs,EmmaDobbs@hogwarts.edu,Student
Marietta Edgecombe,MariettaEdgecombe@hogwarts.edu,Student
Claire Fawcett,ClaireFawcett@hogwarts.edu,Student
Justin Finch-Fletchley,JustinFinch-Fletchley@hogwarts.edu,Student
Seamus Finnigan,SeamusFinnigan@hogwarts.edu,Student
Marcus Flint,MarcusFlint@hogwarts.edu,Student
Vicky Frobisher,VickyFrobisher@hogwarts.edu,Student
Anthony Goldstein,AnthonyGoldstein@hogwarts.edu,Student
Gregory Goyle,GregoryGoyle@hogwarts.edu,Student
Hermione Granger,HermioneGranger@hogwarts.edu,Student
Daphne Greenglass,DaphneGreenglass@hogwarts.edu,Student
Terence Higgs,TerenceHiggs@hogwarts.edu,Student
Geoffrey Hooper,GeoffreyHooper@hogwarts.edu,Student
Angelina Johnson,AngelinaJohnson@hogwarts.edu,Student
Lee Jordan,LeeJordan@hogwarts.edu,Student
Andrw Kirke,AndrwKirke@hogwarts.edu,Student
Viktor Krum,ViktorKrum@hogwarts.edu,Student
Neville Longbottom,NevilleLongbottom@hogwarts.edu,Student
Luna Lovegood,LunaLovegood@hogwarts.edu,Student
Morag MacDougal,MoragMacDougal@hogwarts.edu,Student
Ernie Macmillan,ErnieMacmillan@hogwarts.edu,Student
Laura Madley,LauraMadley@hogwarts.edu,Student
Draco Malfoy,DracoMalfoy@hogwarts.edu,Student
Natalie McDonald,NatalieMcDonald@hogwarts.edu,Student
Eloise Midgen,EloiseMidgen@hogwarts.edu,Student
Alfus Montague,AlfusMontague@hogwarts.edu,Student
Livia Moon,LiviaMoon@hogwarts.edu,Student
Theodore Nott,TheodoreNott@hogwarts.edu,Student
Pansy Parkinson,PansyParkinson@hogwarts.edu,Student
Parvati Patil,ParvatiPatil@hogwarts.edu,Student
Padma Patil,PadmaPatil@hogwarts.edu,Student
Sally-Anne Perks,Sally-AnnePerks@hogwarts.edu,Student
Colin Poliakoff,ColinPoliakoff@hogwarts.edu,Student
Harry James Potter,HarryJamesPotter@hogwarts.edu,Student
Graham Pritchard,GrahamPritchard@hogwarts.edu,Student
Adrian Pucey,AdrianPucey@hogwarts.edu,Student
Orla Quirke,OrlaQuirke@hogwarts.edu,Student
Zacharias Smith,ZachariasSmith@hogwarts.edu,Student
Jack Sloper,JackSloper@hogwarts.edu,Student
Alicia Spinnet,AliciaSpinnet@hogwarts.edu,Student
Ruben Stebbins,RubenStebbins@hogwarts.edu,Student
Patricia Stimpson,PatriciaStimpson@hogwarts.edu,Student
Heather Summerby,HeatherSummerby@hogwarts.edu,Student
PG Summers,PGSummers@hogwarts.edu,Student
Dean Thomas,DeanThomas@hogwarts.edu,Student
Kenneth Towler,KennethTowler@hogwarts.edu,Student
Lisa Turpin,LisaTurpin@hogwarts.edu,Student
Barry Warrington,BarryWarrington@hogwarts.edu,Student
Ronald Weasley,RonaldWeasley@hogwarts.edu,Student
Fred and George Weasley,FredandGeorgeWeasley@hogwarts.edu,Student
Ginny Weasley,GinnyWeasley@hogwarts.edu,Student
Percy Ignatius Weasley,PercyIgnatiusWeasley@hogwarts.edu,Student
Kevin Whitby,KevinWhitby@hogwarts.edu,Student
Oliver Wood,OliverWood@hogwarts.edu,Student
Blaise Zabini,BlaiseZabini@hogwarts.edu,Student
Rose Zeller,RoseZeller@hogwarts.edu,Student
Dilys Derwent,DilysDerwent@hogwarts.edu,Student
Dobby Dobbins,DobbyDobbins@hogwarts.edu,Student
Magorian Century,MagorianCentury@hogwarts.edu,Student
Ronan James,RonanJames@hogwarts.edu,Student
Yvonne Lacey,YvonneLacey@hogwarts.edu,Student
Ludovic Bagman,LudovicBagman@hogwarts.edu,Student
Millicent Bagnold,MillicentBagnold@hogwarts.edu,Student
Ali Bashir,AliBashir@hogwarts.edu,Student
Hetty Bayliss,HettyBayliss@hogwarts.edu,Student
Stubby Boardman,StubbyBoardman@hogwarts.edu,Student
Frank Bryce,FrankBryce@hogwarts.edu,Student
Elfrida Cragg,ElfridaCragg@hogwarts.edu,Student
Bartemius Crouch,BartemiusCrouch@hogwarts.edu,Student
Doris Crockford,DorisCrockford@hogwarts.edu,Student
Dedalus Diggle,DedalusDiggle@hogwarts.edu,Student
Mary Dorkins,MaryDorkins@hogwarts.edu,Student
Aberforth Dumbledore,AberforthDumbledore@hogwarts.edu,Student
Dudley Dursley,DudleyDursley@hogwarts.edu,Student
Marjorie Dursley,MarjorieDursley@hogwarts.edu,Student
Vernon Dursley,VernonDursley@hogwarts.edu,Student
Petunia Dursley,PetuniaDursley@hogwarts.edu,Student
Mark Evans,MarkEvans@hogwarts.edu,Student
Arabella Doreen Figg,ArabellaDoreenFigg@hogwarts.edu,Student
Benjy Fenwick,BenjyFenwick@hogwarts.edu,Student
Nicolas Flamel,NicolasFlamel@hogwarts.edu,Student
Perenell Flamel,PerenellFlamel@hogwarts.edu,Student
Mundungus Fletcher,MundungusFletcher@hogwarts.edu,Student
Fortescue Fletcher,FortescueFletcher@hogwarts.edu,Student
Florean Fortescue,FloreanFortescue@hogwarts.edu,Student
Cornelius Oswald Fudge,CorneliusOswaldFudge@hogwarts.edu,Student
Gladys Gudgeon,GladysGudgeon@hogwarts.edu,Student
Alberic Grunnion,AlbericGrunnion@hogwarts.edu,Student
Warty Harris,WartyHarris@hogwarts.edu,Student
Olive Hornby,OliveHornby@hogwarts.edu,Student
Inigo Imago,InigoImago@hogwarts.edu,Student
Hestia Jones,HestiaJones@hogwarts.edu,Student
Bertha Jorkins,BerthaJorkins@hogwarts.edu,Student
Rodolphus Lestrange,RodolphusLestrange@hogwarts.edu,Student
Bellatrix Lestrange,BellatrixLestrange@hogwarts.edu,Student
Rabastan Lestrange,RabastanLestrange@hogwarts.edu,Student
Dai Llewellyn,DaiLlewellyn@hogwarts.edu,Student
Alice Longbottom,AliceLongbottom@hogwarts.edu,Student
Aidan Lynch,AidanLynch@hogwarts.edu,Student
Frank Longbottom,FrankLongbottom@hogwarts.edu,Student
Lucius Malfoy,LuciusMalfoy@hogwarts.edu,Student
Walden Macnair,WaldenMacnair@hogwarts.edu,Student
Mary Malkin,MaryMalkin@hogwarts.edu,Student
Narcissa Malfoy,NarcissaMalfoy@hogwarts.edu,Student
Jim McGuffin,JimMcGuffin@hogwarts.edu,Student
Griselda Marchbanks,GriseldaMarchbanks@hogwarts.edu,Student
